nn;chapter;article;paragraph;name;summ
;;;в;Пособiя на воспитанiе детей;50000
68;6;;;Заготовка знаковъ почтовой оплаты;777932
69;7;;;Разные расходы по пересылке корреспонденцiи;4708071
;;1;;Расчеты по международной корреспонденцiи;740000
;;2;;Плата за нарочныхъ, возвратъ суммъ за телеграфныя и телефонныя сношенiя и уплата за доставку судебныхъ писемъ;330000
;;3;;Расходы по перевозке корреспонденцiи;3488071
;;;а;уплата за возку почтъ и эстафетъ;3382000
;;;б;укупорочные матерiалы (заготовка и ремонтъ мешковъ, сумокъ и т. п.);106071
;;4;;Вознагражденiе за утраченную на почте корреспонденцiю;50000
;;5;;Постройка почтовыхъ вагоновъ;100000
70;8;;;Приплата за почтовыхъ лошадей;6000000
71;9;;;Устройство и ремонтъ телеграфныхъ линий;6050000
;;1;;Постройка телеграфовъ;3000000
;;2;;Переустройство линiй;400000
;;3;;Ремонтъ линiй;2650000
72;10;;;Устройство и ремонтъ телеграфныхъ сетей;3750000
;;1;;Устройство телефонныхъ сетей;2100000
;;2;;Переустройство линiй;950000
;;3;;Ремонтъ линiй;700000
;;;;Просвещенiе, науки и искусства;None
73;11;;;Содержанiе высшихъ учебныхъ заведенiй;216101
;;1;;Электротехническiй Институтъ;216101
;;;а;Личный составъ;91781
;;;б;Учебная часть;24000
;;;в;пособiя и стипендiи учащимся;18800
;;;г;Канцелярскiе и хозяйственные расходы;81520
;;;;Постройка зданiй и приобретенiе недвижимыхъ имуществъ;None
74;12;;;Сооруженiе и ремонт зданiй;1905373
;;1;;Постройка зданiй, прiобретенiе недвижимыхъ имуществъ, приспособленiе и обородованiе помещенiй;1545873
;;2;;Ремонтъ;360000
;;;;Министерство Финансовъ;426860974
;;;;Общая Кацелярiя Министра Финансовъ;478802
;;;;Гражданское управленiе;None
;;;;Общiе расходы по управленiю;None
75;1;;;Содержанiе центральныхъ учрежденiй;323013
;;1;;Министръ Финансовъ и Товарищи Министра;42190
